,Interval_Start,Interval_End,(05000) Portal Américas,(05100) Banderas P. Central,(12007) Zona Industrial,(12002) CDS - Carrera 32,(07109) CAD,(07107) U. NACIONAL,(07104) Simon Bolivar,(07103) AV. CHILE,(07101) CASTELLANA,(02205) Calle 106,(02204) Pepe Sierra,(02201) Prado,(02000) Cabecera Autopista Norte
0,2018-03-26T00:00:00,2018-03-26T00:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018-03-26T00:15:00,2018-03-26T00:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018-03-26T00:30:00,2018-03-26T00:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018-03-26T00:45:00,2018-03-26T01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018-03-26T01:00:00,2018-03-26T01:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018-03-26T01:15:00,2018-03-26T01:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018-03-26T01:30:00,2018-03-26T01:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018-03-26T01:45:00,2018-03-26T02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018-03-26T02:00:00,2018-03-26T02:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018-03-26T02:15:00,2018-03-26T02:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018-03-26T02:30:00,2018-03-26T02:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018-03-26T02:45:00,2018-03-26T03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018-03-26T03:00:00,2018-03-26T03:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018-03-26T03:15:00,2018-03-26T03:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018-03-26T03:30:00,2018-03-26T03:45:00,2,0,0,0,0,0,0,0,0,0,0,0,0
15,2018-03-26T03:45:00,2018-03-26T04:00:00,22,0,0,0,0,0,0,0,0,0,0,0,0
16,2018-03-26T04:00:00,2018-03-26T04:15:00,134,6,0,0,0,0,0,0,0,0,0,0,0
17,2018-03-26T04:15:00,2018-03-26T04:30:00,228,10,0,0,0,0,0,0,0,0,0,0,0
18,2018-03-26T04:30:00,2018-03-26T04:45:00,434,44,0,0,0,0,0,0,0,0,0,0,0
19,2018-03-26T04:45:00,2018-03-26T05:00:00,682,96,0,0,0,0,2,0,0,0,0,2,0
20,2018-03-26T05:00:00,2018-03-26T05:15:00,932,96,0,0,4,0,0,0,0,0,0,2,0
21,2018-03-26T05:15:00,2018-03-26T05:30:00,1020,104,4,0,0,2,0,0,2,0,2,14,0
22,2018-03-26T05:30:00,2018-03-26T05:45:00,938,164,0,0,2,4,2,2,0,0,0,6,0
23,2018-03-26T05:45:00,2018-03-26T06:00:00,1050,272,8,2,6,2,2,8,4,0,2,18,0
24,2018-03-26T06:00:00,2018-03-26T06:15:00,1266,346,4,2,14,6,6,4,2,4,2,16,0
25,2018-03-26T06:15:00,2018-03-26T06:30:00,1076,346,6,8,18,2,10,16,0,8,2,12,0
26,2018-03-26T06:30:00,2018-03-26T06:45:00,1118,380,12,8,10,10,8,34,8,0,6,16,0
27,2018-03-26T06:45:00,2018-03-26T07:00:00,1106,384,4,2,24,6,12,16,4,8,6,16,0
28,2018-03-26T07:00:00,2018-03-26T07:15:00,758,314,12,0,20,0,12,14,0,10,8,10,0
29,2018-03-26T07:15:00,2018-03-26T07:30:00,714,260,6,2,24,2,8,18,2,14,10,12,0
30,2018-03-26T07:30:00,2018-03-26T07:45:00,570,224,0,2,20,8,8,26,4,10,12,14,0
31,2018-03-26T07:45:00,2018-03-26T08:00:00,474,214,0,0,18,6,6,10,4,16,18,16,0
32,2018-03-26T08:00:00,2018-03-26T08:15:00,462,196,4,0,18,16,12,16,6,20,28,18,0
33,2018-03-26T08:15:00,2018-03-26T08:30:00,364,168,4,2,16,16,10,22,2,20,6,12,0
34,2018-03-26T08:30:00,2018-03-26T08:45:00,294,134,4,2,16,8,10,24,4,14,6,16,0
35,2018-03-26T08:45:00,2018-03-26T09:00:00,328,130,6,6,10,12,6,16,2,10,8,14,0
36,2018-03-26T09:00:00,2018-03-26T09:15:00,224,112,4,6,26,16,8,12,14,22,14,4,0
37,2018-03-26T09:15:00,2018-03-26T09:30:00,198,88,12,0,20,18,6,12,4,16,14,12,0
38,2018-03-26T09:30:00,2018-03-26T09:45:00,168,88,6,2,22,10,12,14,4,22,16,10,0
39,2018-03-26T09:45:00,2018-03-26T10:00:00,162,64,4,0,22,2,4,16,4,32,28,16,0
40,2018-03-26T10:00:00,2018-03-26T10:15:00,118,68,6,0,22,26,14,14,2,28,10,6,0
41,2018-03-26T10:15:00,2018-03-26T10:30:00,138,60,2,2,30,4,8,16,2,26,28,22,0
42,2018-03-26T10:30:00,2018-03-26T10:45:00,114,38,8,2,22,18,16,6,0,32,14,18,0
43,2018-03-26T10:45:00,2018-03-26T11:00:00,168,50,2,4,6,14,20,18,2,32,26,18,0
44,2018-03-26T11:00:00,2018-03-26T11:15:00,110,52,4,10,18,16,18,22,6,32,20,16,0
45,2018-03-26T11:15:00,2018-03-26T11:30:00,116,48,10,8,22,12,12,8,6,38,30,2,0
46,2018-03-26T11:30:00,2018-03-26T11:45:00,92,44,10,4,6,6,6,16,4,18,18,14,0
47,2018-03-26T11:45:00,2018-03-26T12:00:00,94,48,12,6,20,14,8,20,4,24,12,8,0
48,2018-03-26T12:00:00,2018-03-26T12:15:00,78,42,8,0,24,22,10,14,2,30,16,12,0
49,2018-03-26T12:15:00,2018-03-26T12:30:00,104,30,18,4,24,14,16,14,2,18,20,12,0
50,2018-03-26T12:30:00,2018-03-26T12:45:00,94,44,2,4,24,24,18,12,4,16,24,8,0
51,2018-03-26T12:45:00,2018-03-26T13:00:00,120,30,4,10,16,12,6,20,4,10,18,18,0
52,2018-03-26T13:00:00,2018-03-26T13:15:00,124,34,12,4,34,20,12,20,0,20,8,16,0
53,2018-03-26T13:15:00,2018-03-26T13:30:00,46,36,10,4,30,6,8,28,2,26,26,12,0
54,2018-03-26T13:30:00,2018-03-26T13:45:00,60,32,8,0,32,20,10,12,2,34,24,6,0
55,2018-03-26T13:45:00,2018-03-26T14:00:00,70,42,16,6,20,16,8,26,6,24,26,8,0
56,2018-03-26T14:00:00,2018-03-26T14:15:00,44,20,14,2,14,14,6,14,2,26,20,8,0
