,Interval_Start,Interval_End,(05000) Portal Américas,(05100) Banderas P. Central,(12007) Zona Industrial,(12002) CDS - Carrera 32,(07109) CAD,(07107) U. NACIONAL,(07104) Simon Bolivar,(07103) AV. CHILE,(07101) CASTELLANA,(02205) Calle 106,(02204) Pepe Sierra,(02201) Prado,Portal Norte
0,2020-01-06T00:00:00,2020-01-06T00:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-01-06T00:15:00,2020-01-06T00:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-01-06T00:30:00,2020-01-06T00:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2020-01-06T00:45:00,2020-01-06T01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2020-01-06T01:00:00,2020-01-06T01:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2020-01-06T01:15:00,2020-01-06T01:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2020-01-06T01:30:00,2020-01-06T01:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2020-01-06T01:45:00,2020-01-06T02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2020-01-06T02:00:00,2020-01-06T02:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2020-01-06T02:15:00,2020-01-06T02:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2020-01-06T02:30:00,2020-01-06T02:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2020-01-06T02:45:00,2020-01-06T03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2020-01-06T03:00:00,2020-01-06T03:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2020-01-06T03:15:00,2020-01-06T03:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2020-01-06T03:30:00,2020-01-06T03:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2020-01-06T03:45:00,2020-01-06T04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2020-01-06T04:00:00,2020-01-06T04:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0
